ontology	disorder_name	disease_term_id	source_file	term_id	term_label	score	direct_score	propagated_score	specificity	is_direct	best_source_term_id	best_source_term_label	best_source_path_score	best_source_path	best_path_hops	best_path_is_a_hops	best_path_develops_from_hops	best_path_part_of_hops	supporting_source_term_ids	supporting_source_term_labels	supporting_source_node_names
cell	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	CL:2000073	migratory cardiac neural crest cell	1.000000	1.000000	1.000000	1.000000	true	CL:2000073	migratory cardiac neural crest cell	1.000000	self	0	0	0	0	CL:2000073	migratory cardiac neural crest cell	Cardiac neural crest migration defect
cell	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	CL:0000134	mesenchymal stem cell	0.500000	0.500000	0.506403	0.129498	true	CL:0000134	mesenchymal stem cell	1.000000	self	0	0	0	0	CL:0000084|CL:0000134	T cell|mesenchymal stem cell	TBX1 haploinsufficiency and pharyngeal arch development
cell	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	CL:0011012	neural crest cell	0.500000	0.500000	0.745000	0.373578	true	CL:0011012	neural crest cell	1.000000	self	0	0	0	0	CL:0011012|CL:2000073	migratory cardiac neural crest cell|neural crest cell	TBX1 haploinsufficiency and pharyngeal arch development
cell	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	CL:0002293	epithelial cell of thymus	0.366699	0.000000	0.412222	0.889567	false	CL:0002365	medullary thymic epithelial cell	0.700000	is_a	1	1	0	0	CL:0002364|CL:0002365	cortical thymic epithelial cell|medullary thymic epithelial cell	Thymic hypoplasia and T-cell immunodeficiency
cell	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	CL:0000084	T cell	0.333333	0.333333	0.333333	0.320866	true	CL:0000084	T cell	1.000000	self	0	0	0	0	CL:0000084	T cell	Thymic hypoplasia and T-cell immunodeficiency
cell	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	CL:0002364	cortical thymic epithelial cell	0.333333	0.333333	0.333333	1.000000	true	CL:0002364	cortical thymic epithelial cell	1.000000	self	0	0	0	0	CL:0002364	cortical thymic epithelial cell	Thymic hypoplasia and T-cell immunodeficiency
cell	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	CL:0002365	medullary thymic epithelial cell	0.333333	0.333333	0.333333	1.000000	true	CL:0002365	medullary thymic epithelial cell	1.000000	self	0	0	0	0	CL:0002365	medullary thymic epithelial cell	Thymic hypoplasia and T-cell immunodeficiency
cell	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	CL:0000333	migratory neural crest cell	0.263713	0.000000	0.700000	0.376733	false	CL:2000073	migratory cardiac neural crest cell	0.700000	is_a	1	1	0	0	CL:2000073	migratory cardiac neural crest cell	Cardiac neural crest migration defect
cell	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	CL:0007004	premigratory neural crest cell	0.105485	0.000000	0.280000	0.376733	false	CL:2000073	migratory cardiac neural crest cell	0.280000	is_a > develops_from	2	1	1	0	CL:2000073	migratory cardiac neural crest cell	Cardiac neural crest migration defect
cell	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	CL:0002076	endo-epithelial cell	0.100476	0.000000	0.299989	0.334933	false	CL:0002365	medullary thymic epithelial cell	0.490000	is_a > is_a	2	2	0	0	CL:0002364|CL:0002365	cortical thymic epithelial cell|medullary thymic epithelial cell	Thymic hypoplasia and T-cell immunodeficiency
